"","yelp_review.business_id","yelp_review.cool","yelp_review.date","yelp_review.funny","yelp_review.review_id","yelp_review.stars","yelp_review.text","yelp_review.useful","yelp_review.user_id"
"1","IkY2ticzHEn4QFn8hQLSWg",1,"2014-12-17 18:55:33",2,"NojlHAJMaE4974Oq46emdA",3,"Meh. Not too impressed.So I had to do the Pat's vs Geno's taste test for myself after seeing it on The Travel Channel.Lets start with the building.....it looks like Snooki & Jwoww live there.VERY GAUDY.If they put the effort they put into making the outside of the building gaudy into their Cheesesteaks then maybe their Cheesesteaks would be really good.I ordered a Cheesesteak add Provolone,American and onions.The bread was really chewy compared to Pat's and the meat was very dry.The meat to bread ratio just wasn't right either,there was just too much dry, chewy bread & too little meat.At one point while I was chewing a bite I felt like I had cotton mouth.(Beleive me,that's not a good feeling.) There was definitely less meat and cheese on my Geno's cheesesteak & overall the sandwich was just bigger at Pat's. I know that there are waaay better cheesesteak places than these 2 in Philly because we asked some locals but I had to do the ""touristy taste test ""thing for myself.The results are in, and the winner is..........Pat's. Next time I come to Philly I won't be coming to either one of these just because I wanna go try other places but if you absolutely had to choose from these 2 then it's definitely Pat's hands down.",1,"SVekW9LMVadQISwsC-4asA"
"2","IkY2ticzHEn4QFn8hQLSWg",1,"2014-09-25 14:59:52",1,"mr7_E17PUT6N38gbkv4_yw",2,"We arrived here just after midnight and had no difficulty finding a place to park or a place to sit down and eat.  The tables line the sidewalk. I ordered the cheesesteak; what else is a tourist to do?  Maybe I was expecting something different I am from Jersey... it was disappointing.  The cheesesteak has chucks of steak that were exceptionally chewy and the cheese that failed to improve the overall experience. It didn't have a particular flavor that stood out and it was honestly forgettable except for the prices. It is expensive.  In a city full of flavor and variety.... I will try somewhere else next time.",2,"jCWQW5KCYlOwy_j9s8VXfA"
"3","IkY2ticzHEn4QFn8hQLSWg",0,"2013-06-24 16:34:26",0,"o6bBRlCqFTmwzgyfb1sU2g",2,"Both the cheese steak and the freedom fries were not that tasty. I was a bit disappointed.",0,"0nQuU3_WEuMpOJzevofnBw"
"4","IkY2ticzHEn4QFn8hQLSWg",1,"2017-01-02 05:36:46",0,"Wmgs7hEIMC2F5cmIdvPAQQ",2,"Kind of disappointed that after waiting 20+ mins in line in the freezing cold weather, the cheesesteak was not worth it. Wanted to try an authentic philly cheesesteak whilst there, so upon looking at the piling long lines of people waiting to get their hands on geno's Philly cheesesteak we joined the line as well, thinking long lines = Awesome food. Boy, were we wrong. Ordered 1 philly, 1 mushroom philly. Taste was bland, no flavor, bread as mentioned in numerous other reviews was chewy and i second that 100%. The meat seemed not up to the standards of philly steaks. And to add a cherry on top, the old lady at the cash register tried to short change me. Delassandros was way way way way way better when I had their cheesesteaks before.  So as of now, number 1 cheesesteak is still mitchels in OCMD, number 2 delassandros, philly. Number 3 ??",2,"TcZb84XIAUDKEMwllrz_5A"
"5","IkY2ticzHEn4QFn8hQLSWg",0,"2014-02-24 20:47:13",0,"utF8UB1gOerF3ZYlKSge8Q",3,"Yeah, there's a rivalry with Pat's. Yeah, they have neon. Yeah, their bread is fresher. However, I think Geno's is average. With so many options in the city, Geno's is popular because that's where the tourists go. Try Chinks or Delassandros, much better experience. If you want the typical Philly cheese steak experience, go to Geno's. If you want a better steak, go somewhere else.",0,"7wCLUA7e1Z_-Gve4YzEIcg"
"6","IkY2ticzHEn4QFn8hQLSWg",1,"2011-02-13 17:31:22",3,"P_s9IjO1U-cjLsdz2b4_ww",3,"Well, here is another three star rating and this is why .   I am a native Californian so I can picture it already. ""EY, Waddayanow about steaks?"" Well, l may not know cheesesteaks, but I know what I like.   I did like the sandwich, but it wasn't what I thought it would be. It had good flavor, and I loved the onions. I ordered it ""wizz, wit"" and I was surprised how FAST they get things done. I also got the cheese fries and a drink. All in all it was around $15 (!) and I ate it right there on the benches. Yes, it was cold with the wind blowing.   The best way I can describe it is to draw a parallel observation with another LA landmark that people rave and fawn over. King Taco. Sure, they make good food. Sure they serve tons of customers every night and are rather well known. Sure they make GREAT late night stops. However, late night munchies are not really the best way to judge foodstuffs. Perhaps being soaked in booze from late night carousing adds to the overall experience. There is NOTHING wrong with that. Just in the same way I like King Taco, I liked Geno's.  I however, have had better cheesesteaks. So far, the best cheesesteak I have had in the US was at Moochie's in Salt Lake City. It is not blasphemy, and it in no way takes Geno's down for what it is. A pioneer in the field of cheeseteaks with a history only perhaps one other restaurant can rival. That rivalry I am sure also adds to the legend.   Still, 3 stars for the food. -Subject to change based on intoxication-",2,"vY7MF_PQHV5WhF0SceYpWQ"
"7","IkY2ticzHEn4QFn8hQLSWg",0,"2013-11-15 01:46:24",0,"jNCrs4IFLlsnDupaI5yB1A",1,"Obnoxious lights. Pats steaks are so much better across the street. Long live King Pat Steaks!",0,"ajLKX8qIzmJMjWcizowxaw"
"8","IkY2ticzHEn4QFn8hQLSWg",0,"2008-12-08 20:23:09",1,"5NV4UlP5ZyM-6KgwbMElzA",1,"Take a picture there then leave. If you're unbelievably famished, then order the cheese fries.",1,"Oz6DTbeD6m3z5LmnDdZdXw"
"9","IkY2ticzHEn4QFn8hQLSWg",0,"2012-02-02 16:23:11",0,"Mnv2WHCyiLuCuuPWACHeyg",4,"Geno's suffers from being over exposed and hyped, but really from a purely impartial standpoint, their steaks are above average.  I think the steak itself is a 3.5 star product, but their hot sauce earns a star just by itself.  It's one of the best (and spiciest restaurant hot sauces I've encountered).  Give it a shot, the hot sauce makes the steak twice as good.  Be forewarned to add it sparingly -- it is hella hot.  If you think of hot sauces on a scale of 1 to 10, where Frank's Red Hot is a 1.5 and Tabasco is a 3.  The Geno's hot sauce is a 7.",0,"qT2W8QV0YuuUy8tUXZ8jeg"
"10","IkY2ticzHEn4QFn8hQLSWg",1,"2009-05-26 16:42:18",1,"9eQbxOKPz9zamMlSzwhy2w",1,"Worst steak I've had in Philly. Cannot understand why anyone likes this place. The folks behind the counter are unfriendly at best and down right rude under normal conditions.  Food-wise, the steak was very bland. No salt/pepper. Cheese was like plastic. Way over priced for soggy, bland food. A real let down.  I took my wife here as she was new to Philly as a tourist treat and we were sorely disappointed. The best steak I've had thus far is the unknown joint up on Somerset and Broad, ""Broad Street Steaks"". So good you'll hurt yourself!  Leave this guy and his rude ways and get a real steak some place else.",2,"5tjsufptT7zlg2XVWvq_iA"
